musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari
4353,Gülşahin,Kadın,57,Gaziantep,2726.01
8374,Yahşikan,Erkek,66,Gaziantep,4754.7
3902,Candeniz,Erkek,61,Konya,867.2
2080,Gözel,Erkek,64,Adana,2020.97
7901,Erdogan,Kadın,63,İstanbul,4334.16
1549,Tunçboğa,Erkek,63,Gaziantep,289.6
8958,Sonad,Kadın,39,İzmir,3912.39
8441,Merdi,Kadın,50,İzmir,3961.85
9843,Ünübol,Kadın,36,Adana,2112.75
6047,İsak,Erkek,19,İstanbul,687.91
3038,Canberk,Erkek,47,Gaziantep,1824.74
1364,Oliver,Erkek,43,Bursa,2243.66
7534,Erik,Erkek,48,Konya,3071.0
2063,Sudi,Kadın,45,Ankara,4828.95
3142,Özpetek,Erkek,29,Bursa,3835.22
9806,Arpağ,Kadın,25,Antalya,3092.06
9590,Derkay,Erkek,48,İstanbul,1409.98
4281,Zekayi,Kadın,43,Gaziantep,4597.46
2843,Tanbay,Kadın,65,Bursa,970.69
6589,Yahşi,Kadın,66,Antalya,2462.47
6196,Perinur,Kadın,42,Antalya,323.01
2603,Tangül,Kadın,69,Konya,341.04
2845,Sağcan,Erkek,20,İzmir,4938.79
5532,Tandoğdu,Erkek,24,İstanbul,3710.86
4885,Sahil,Erkek,52,Adana,1033.66
7165,Kamar,Kadın,61,İzmir,868.58
5161,Seyithan,Erkek,29,İstanbul,435.85
8858,Özge,Erkek,47,İzmir,4817.04
1512,Banü,Erkek,28,Adana,681.3
3383,Bedri,Kadın,67,Adana,414.7
9016,Fetullah,Erkek,28,Ankara,4077.46
1910,Sehel,Erkek,65,İzmir,4328.93
7091,Açıkel,Kadın,44,Bursa,4562.44
3749,Mükrüme,Kadın,30,Antalya,1568.18
8185,Çakırca,Erkek,44,Gaziantep,4858.47
9964,Seçme,Kadın,68,İzmir,206.73
2083,Aynilhayat,Kadın,68,Bursa,792.1
8758,Feyzin,Erkek,66,İzmir,3187.38
1223,Vaysal,Erkek,58,Antalya,2458.08
2498,Uygun,Erkek,50,Konya,540.88
8348,Yilmaz,Kadın,37,Bursa,2185.98
5352,Bidayet,Erkek,48,Adana,3461.05
7660,Okbay,Kadın,61,İzmir,115.13
6491,Mishat,Erkek,27,Antalya,523.18
6473,Şükri,Kadın,18,Gaziantep,1042.82
6603,Havali,Erkek,38,Ankara,4008.25
7571,İmrihan,Erkek,26,Antalya,412.54
8649,Karakucak,Erkek,47,Antalya,626.64
5296,Şeref,Kadın,49,Gaziantep,2729.61
6783,Kibar,Erkek,40,Bursa,4737.39
3304,Gümüştekin,Kadın,62,Gaziantep,4911.59
9677,Gürcüye,Kadın,59,Gaziantep,313.35
8900,Hacile,Kadın,60,Antalya,1684.71
2129,Ozansü,Kadın,26,Antalya,4267.73
3714,Sarya,Erkek,21,İzmir,3432.99
6732,Gülüs,Kadın,53,İstanbul,1787.68
2189,Timurtaş,Erkek,33,Konya,2481.84
1493,Torhan,Kadın,42,Adana,4477.94
1533,Serda,Kadın,39,İzmir,4849.26
3974,Telim,Erkek,63,Antalya,2422.58
1449,Aydınbey,Kadın,63,Konya,4076.71
5019,Hiçsönmez,Kadın,69,Antalya,733.02
9376,Karakucak,Kadın,51,Adana,2658.55
4071,Sevla,Erkek,18,Gaziantep,1757.66
6792,Hüryaşar,Erkek,45,Bursa,706.32
8195,Çevregül,Erkek,64,Gaziantep,1524.43
2309,Esmanperi,Kadın,42,Bursa,1098.72
8897,Mehmed,Kadın,25,Bursa,2603.88
1009,İnançlı,Erkek,67,Konya,4156.24
9792,Gülözge,Erkek,57,Konya,4371.78
7691,Nura,Erkek,29,Adana,3910.1
6334,İlteriş,Kadın,46,Bursa,2664.42
1714,Habibe,Kadın,46,Antalya,1832.18
5825,Delil,Kadın,22,İstanbul,1979.17
5979,Aytuna,Erkek,62,Ankara,2343.34
6417,Gilman,Kadın,38,Bursa,815.44
1328,Veis,Erkek,25,Gaziantep,1060.99
4028,Ürper,Kadın,61,İstanbul,1311.9
8653,Dündaralp,Kadın,41,Adana,3950.76
1756,Berki,Kadın,44,Ankara,2751.49
8159,Göknur,Erkek,28,Ankara,3418.75
2268,Erensoy,Kadın,23,Gaziantep,3508.47
2619,Nezize,Erkek,43,Antalya,431.77
9280,Tenvir,Kadın,65,Antalya,4338.68
3930,Erksoy,Erkek,25,İstanbul,845.69
3669,Özdil,Kadın,61,Adana,2609.3
9240,Kaver,Erkek,63,Ankara,234.55
6513,Verim,Erkek,44,Adana,4818.7
4478,Ildız,Erkek,37,Gaziantep,2392.2
7598,Samurtay,Erkek,56,İstanbul,3823.58
3455,Uğur,Erkek,62,Antalya,2559.4
2621,Muhip,Kadın,18,Konya,1246.65
2792,Gazel,Erkek,20,Gaziantep,3955.82
4582,Mujde,Kadın,65,İzmir,2197.68
5298,Zülbiye,Kadın,25,Konya,2834.32
2941,Resulcan,Kadın,59,Ankara,4795.57
4782,Süvari,Kadın,33,Gaziantep,4251.35
1937,Sittik,Kadın,67,Adana,2588.28
9123,Dilsitan,Kadın,51,Gaziantep,3167.19
8327,Erensoy,Kadın,20,Konya,1271.15
9256,İncifir,Erkek,69,İzmir,4914.88
3174,Lâle,Kadın,35,Gaziantep,1528.97
1629,Şavki,Erkek,44,İzmir,2130.77
4025,Aclan,Erkek,22,Antalya,1192.09
3726,Nesip,Kadın,29,Gaziantep,3618.02
